Name_of_class,Keywords_from_description
'manufacture of footwear',"['textile material without applied soles', ""lasts ), see 1629 '>"", 'wooden shoe parts', 'plastic footwear parts', 'see 2220 manufacture', ""description =' manufacture"", 'rubber footwear parts', 'see 2219', 'see 1410', 'rubber boot', 'shoe heels', 'record n', 'class excludes', 'soles', 'footwear', 'footwear', 'manufacture', 'manufacture', 'manufacture', 'heels', 'g', 'e']"
'Saw milling and planing of wood',"['veneer sheets thin enough', ""description =' saw milling"", ""see 1622 '>"", 'see 0220 manufacture', 'see 1621', 'record n', 'class excludes', 'manufacture', 'wood', 'wood', 'use', 'shingles', 'shakes', 'rough', 'production', 'plywood', 'planing', 'panels', 'mouldings', 'logging', 'boards', 'beadings']"
"'manufacture of veneer sheets; manufacture of plywood, laminboard,'","[""description =' manufacture"", 'veneer sheets', 'record n', 'particle board', ""board '>"", 'manufacture', 'plywood', 'panels', 'laminboard']"
'manufacture of builders‚Äô carpentry and joinery',"['wardrobes etc ., see 3100', 'builders ‚ äô carpentry', ""see 3100 '>"", 'unassembled wooden flooring', ""description =' manufacture"", 'see 1610', 'wood partitions', 'record n', 'kitchen cabinets', 'free standing', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'joinery', 'bookcases']"
'manufacture of wooden containers',"[""see 1629 '>"", ""description =' manufacture"", 'see 1512', 'wooden containers', 'record n', 'plaiting material', 'class excludes', 'manufacture', 'manufacture', 'luggage', 'cases']"
"'manufacture of other products of wood; manufacture of articles of cork,'","[""see 3290 '>"", ""description =' manufacture"", 'see 2652 manufacture', 'see 3290', 'see 3240', 'see 3100', 'see 2826', 'see 2029', 'see 1520', 'see 1512', 'see 1322', 'wooden toys', 'wooden spools', 'wooden footwear', 'textile materials', 'textile machinery', 'record n', 'plaiting materials', 'clock cases', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'wood', 'straw', 'products', 'part', 'matting', 'mats', 'matches', 'luggage', 'furniture', 'cork', 'caskets', 'brushes', 'brooms', 'bobbins', 'articles']"
"'manufacture of pulp, paper and paperboard'","['cork life preservers', ""see 3290 '>"", ""description =' manufacture"", 'see 1709 manufacture', 'see 1702 manufacture', 'see class', 'see 2399', 'record n', 'processed articles', 'main ingredient', 'class excludes', 'impregnated paper', 'corrugated paper', 'abrasive paper', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'paper', 'paper', 'pulp', 'pulp', 'paperboard', 'paperboard', 'paperboard', 'impregnant', 'impregnant', 'coating', 'coating', 'coated', 'classified']"
'manufacture of corrugated paper and paperboard and containers of',"[""moulded pulp paper plates ), see 1709 '>"", 'see 1709', 'paper pulp', ""description =' manufacture"", 'corrugated paper', 'moulded', 'record n', 'pressed articles', 'packing eggs', 'class excludes', 'paper', 'manufacture', 'manufacture', 'paperboard', 'paperboard', 'g', 'envelopes', 'e', 'containers', 'boxes']"
'printing',"[""see 8219 '>"", ""description =' printing"", 'see 581', 'see 1709', 'see 1313', 'wearing apparel', 'silk screen', 'record n', 'printed matter', 'paper articles', 'class excludes', 'printing', 'textiles', 'publishing', 'photocopying', 'manufacture', 'documents', 'binders']"
'Service activities related to printing',"[""description =' service activities related"", 'record n', ""printing '>""]"
'reproduction of recorded media',"[""see 5920 '>"", 'motion picture films', ""description =' reproduction"", 'class includes reproduction', 'see 5820 production', 'class excludes', 'see 5911', 'see 1811', 'motion pictures', 'motion pictures', 'video recordings', 'sound recordings', 'similar media', 'recorded media', 'record n', 'printed matter', 'master copies', 'master copies', 'audio material', 'see 5913', 'theatrical distribution', 'gramophone records', 'compact discs', 'reproduction', 'reproduction', 'production', 'records', 'distribution', 'discs', '5913', 'videotapes', 'tapes', 'tapes', 'software', 'software', 'publishing', 'music', 'movies', 'dvd', 'data', '5912']"
'manufacture of coke oven products',"[""coke oven products '>"", ""description =' manufacture"", 'record n']"
'Manufacture of refined petroleum products',"[""refined petroleum products '>"", ""description =' manufacture"", 'record n']"
'manufacture of basic chemicals',"['natural essential oils', 'aromatic distilled waters', ""see 2100 '>"", ""description =' manufacture"", 'see 0620 manufacture', 'see 2029', 'see 2029', 'see 2023', 'see 2022', 'see 2013', 'see 2013', 'see 2012', 'see 2012', 'see 2012', 'see 2012', 'see 2012', 'see 1920', 'synthetic rubber', 'record n', 'primary forms', 'primary forms', 'prepared dyes', 'petroleum refinery', 'nitrogenous fertilizers', 'nitrogen compounds', 'fuel gases', 'crude glycerol', 'class excludes', 'basic chemicals', 'ammonium chloride', 'ammonium carbonates', 'acetylsalicylic acids', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'salicylic', 'propane', 'propane', 'potassium', 'plastics', 'pigments', 'nitrites', 'nitrates', 'methane', 'extraction', 'ethane', 'ethane', 'butane', 'butane', 'ammonia']"
'manufacture of fertilizers and nitrogen compounds',"[""see 3821 '>"", ""description =' manufacture"", 'see 2021', 'see 0891', 'record n', 'nitrogen compounds', 'compost dumps', 'class excludes', 'agrochemical products', 'manufacture', 'pesticides', 'operation', 'mining', 'guano', 'fertilizers']"
'manufacture of plastics and synthetic rubber in primary forms',"[""see 3830 '>"", ""description =' manufacture"", 'see 2030', 'synthetic rubber', 'synthetic fibres', 'record n', 'primary forms', 'plastic products', 'class excludes', 'manufacture', 'yarn', 'shredding', 'plastics', 'filaments', 'artificial']"
'manufacture of pesticides and other agrochemical products',"[""see 2012 '>"", ""description =' manufacture"", 'record n', 'nitrogen compounds', 'class excludes', 'agrochemical products', 'manufacture', 'pesticides', 'fertilizers']"
"'manufacture of paints, varnishes and similar coatings, printing ink and'","[""see 2029 '>"", ""description =' manufacture"", 'see 2011', 'similar coatings', 'record n', 'printing ink', 'drawing ink', 'class excludes', 'manufacture', 'manufacture', 'writing', 'varnishes', 'pigments', 'paints', 'mastics', 'dyestuffs']"
"'manufacture of soap and detergents, cleaning and polishing preparations,'","['natural essential oils', 'chemically defined compounds', ""see 2029 '>"", ""description =' manufacture"", 'see 2011', 'see 2011', 'toilet preparations', 'record n', 'polishing preparations', 'petroleum products', 'class excludes', 'manufacture', 'manufacture', 'synthesized', 'soap', 'separate', 'refining', 'perfumes', 'glycerol', 'extraction', 'detergents', 'cleaning']"
'manufacture of other chemical products n.e.c.',"['synthetic aromatic products', 'chemically defined products', 'chemical products n', ""see 2399 '>"", ""description =' manufacture"", 'record n', 'see 2023', 'see 2022', 'see 2011', 'see 2011', 'see 2011', 'toilet preparations', 'printing ink', 'distilled water', 'class excludes', 'based adhesives', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'perfumes', 'e', 'c', 'bulk', 'asphalt']"
'Manufacture of man-made fibres',"[""see 1311 '>"", ""description =' manufacture"", 'see 1311', 'yarns made', 'record n', 'made staple', 'made fibres', 'class excludes', 'artificial fibres', 'manufacture', 'synthetic', 'spinning', 'man', 'man']"
"'manufacture of pharmaceuticals, medicinal chemical and botanical'","[""see 7210 '>"", '), see 1079', ""description =' manufacture"", 'see 8292', 'see 4772', 'see 4649', 'see 3250', 'retail sale', 'record n', 'medicinal chemical', 'herb infusions', 'dental fillings', 'dental cement', 'class excludes', 'chamomile etc', 'botanical products', 'biotech pharmaceuticals', 'manufacture', 'manufacture', 'pharmaceuticals', 'pharmaceuticals', 'pharmaceuticals', 'pharmaceuticals', 'pharmaceuticals', 'wholesale', 'vervain', 'research', 'packaging', 'mint', 'development']"
' manufacture of rubber tyres and tubes; retreading and rebuilding of',"[""see 4520 '>"", 'tube repair materials', ""description =' manufacture"", 'tube repair', 'see 2219', 'rubber tyres', 'rubber tyres', 'record n', 'class excludes', 'manufacture', 'tyre', 'tubes', 'retreading', 'replacement', 'rebuilding', 'fitting']"
' manufacture of other rubber products',"['including children ‚ äôs wading pools', '‚ äúcamelback ‚ äù strips', 'like ), see 3240', 'inflatable children rubber boats', 'tyre cord fabrics', 'uncovered cellular rubber', 'rubber sports requisites', 'inflatable rubber animals', ""see 3830 '>"", ""description =' manufacture"", 'inflatable rafts', 'elastic fabrics', 'rubber products', 'rubber games', 'rubber footwear', 'see 3230', 'see 3100', 'see 3011', 'see 2211', 'see 2029', 'see 1520', 'see 1410', 'see 1329', 'record n', 'class excludes', 'adhesives based', 'except apparel', 'boats', 'rubber', 'rubber', 'apparel', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'toys', 'reclaiming', 'mattresses', 'glues', 'balls', '3012']"
' manufacture of plastics products',"['personal safety equipment', 'uncovered cellular plastic', 'plastic sports requisites', 'plastic ophthalmic goods', ""see 3290 '>"", 'plastics hard hats', ""description =' manufacture"", 'see 3250 manufacture', 'see 3250', 'plastic medical', 'plastic luggage', 'plastic games', 'plastic furniture', 'plastic footwear', 'see 3240', 'see 3230', 'see 3100', 'see 3100', 'see 221', 'see 2013', 'see 1520', 'see 1512', 'record n', 'primary forms', 'natural rubber', 'dental appliances', 'class excludes', 'plastics products', 'plastics', 'plastics', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'toys', 'synthetic', 'mattresses', 'articles']"
'manufacture of glass and glass products',"['optical elements optically worked', 'medical laboratory equipment', 'fiber optic cable', ""see 3250 '>"", ""description =' manufacture"", 'see 3240 manufacture', 'see 2670 manufacture', 'see 2731', 'see 1312', 'woven fabrics', 'record n', 'live transmission', 'data transmission', 'class excludes', 'glass yarn', 'glass toys', 'glass products', 'manufacture', 'manufacture', 'manufacture', 'glass', 'syringes', 'images']"
'manufacture of refractory products',"[""refractory products '>"", ""description =' manufacture"", 'record n']"
'manufacture of clay building materials',"['cultured marble ), see 2220', ""see 2391 '>"", 'refractory ceramic products', 'clay building materials', ""description =' manufacture"", 'record n', 'class excludes', 'artificial stone', 'manufacture', 'manufacture', 'g', 'e']"
'manufacture of other porcelain and ceramic products',"['cultured marble ), see 2220', 'refractory ceramic goods', 'ceramic sanitary fixtures', 'ceramic building materials', ""see 3250 '>"", ""description =' manufacture"", 'ceramic toys', 'ceramic products', 'see 3240', 'see 3212', 'see 2392', 'see 2392', 'see 2391', 'record n', 'imitation jewellery', 'class excludes', 'artificial teeth', 'artificial stone', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'porcelain', 'g', 'e']"
"'manufacture of cement, lime and plaster'","['concrete etc ., see 2391', ""see 3250 '>"", ""description =' manufacture"", 'mix concrete', 'see 2395', 'see 2395', 'see 2395', 'record n', 'class excludes', 'cements used', 'refractory mortars', 'mortars', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'ready', 'plaster', 'plaster', 'mixed', 'lime', 'dry', 'dentistry', 'cement', 'cement', 'articles', 'articles']"
"'manufacture of articles of concrete, cement and plaster'","[""see 2391 '>"", ""description =' manufacture"", 'refractory cements', 'record n', 'class excludes', 'manufacture', 'plaster', 'mortars', 'concrete', 'cement', 'articles']"
"'Cutting, shaping and finishing of stone'","[""description =' cutting"", 'class includes construction', ""see 9000 '>"", 'rough cut stone', 'class excludes', 'see 2399', 'see 0810', 'similar products', 'roofing etc', 'record n', 'abrasive stones', 'quarrying activities', 'stone', 'activities', 'shaping', 'sculptors', 'roads', 'production', 'production', 'millstones', 'finishing', 'e', 'cemeteries']"
'manufacture of other non-metallic mineral products n.e.c.',"['metallic mineral products n', 'woven glass wool products', ""see 2310 '>"", ""description =' manufacture"", 'glass wool', 'record n', 'class excludes', 'manufacture', 'non', 'non', 'e', 'c']"
'manufacture of basic iron and steel',"[""see 2431 '>"", ""description =' manufacture"", 'see 2431', 'see 2431', 'record n', 'pipe fittings', 'pipe fittings', 'hollow profiles', 'class excludes', 'centrifugal casting', 'seamless tubes', 'basic iron', 'tubes', 'manufacture', 'manufacture', 'manufacture', 'iron', 'tube', 'tube', 'steel', 'steel', 'steel', 'pipes', 'pipes', 'cast', 'cast']"
'manufacture of basic precious and other non-ferrous metals',"[""see 3211 '>"", 'precious metal jewellery', ""description =' manufacture"", 'see 2432', 'basic precious', 'record n', 'ferrous metals', 'ferrous metals', 'class excludes', 'manufacture', 'non', 'non', 'casting']"
'Casting of iron and steel',"[""description =' casting"", 'class includes activities', ""steel foundries '>"", 'record n', 'steel', 'iron', 'iron']"
'Casting of non-ferrous metals',"['precious metal castings die', ""ferrous metal castings '>"", 'light metal castings casting', 'heavy metal castings casting', ""description =' casting"", 'ferrous metals', 'zinc etc', 'record n', 'finished products', 'class includes', 'casting', 'casting', 'casting', 'titanium', 'semi', 'non', 'non', 'magnesium', 'aluminium']"
'manufacture of structural metal products',"['assembled railway track fixtures', 'structural metal products', ""see 3011 '>"", ""description =' manufacture"", 'see 2599', 'see 2513', 'record n', 'power boilers', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'ships', 'sections', 'parts', 'marine']"
"'manufacture of tanks, reservoirs and containers of metal'","[""armored military vehicles ), see 3040 '>"", 'size ), see 2599', 'kind normally used', ""description =' manufacture"", 'see 2920', 'record n', 'class excludes', 'boxes etc', 'transport containers', 'metal casks', 'metal', 'manufacture', 'manufacture', 'manufacture', 'containers', 'tanks', 'tanks', 'reservoirs', 'pails', 'packing', 'irrespective', 'goods', 'drums', 'carrying', 'cans']"
"'manufacture of steam generators, except central heating hot water'","['except central heating hot water boilers', 'central heating hot', ""see 2829 '>"", 'water boilers', ""description =' manufacture"", 'see 2811', 'see 2512', 'turbine sets', 'steam generators', 'record n', 'isotope separators', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'radiators', 'boiler']"
'manufacture of weapons and ammunition',"['bayonets etc ., see 2593 manufacture', 'light machine guns ), manufacture', 'heavy machine guns ), manufacture', ""see 3040 '>"", ""description =' manufacture"", 'class includes manufacture', 'mobile guns', 'gas guns', 'see 3030', 'see 2910', 'see 2029', 'heavy weapons', 'class excludes', 'torpedo tubes', 'space vehicles', 'small arms', 'signalling flares', 'rocket launchers', 'record n', 'protective firearms', 'percussion caps', 'fighting vehicles', 'explosive devices', 'armoured vehicles', 'war ammunition', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'weapons', 'ammunition', 'ammunition', 'valuables', 'transport', 'torpedoes', 'tanks', 'swords', 'sporting', 'shotguns', 'revolvers', 'pistols', 'mines', 'hunting', 'detonators', 'cutlasses', 'bombs', 'banknotes', 'artillery', 'air']"
"'Forging, pressing, stamping and roll-forming of metal; powder'","[""description =' forging"", 'metal objects directly', 'see 2410', 'record n', 'powder metallurgy', 'heat treatment', 'class includes', 'class excludes', ""2420 '>"", 'metal powders', 'metal powder', 'roll forming', 'forging', 'metal', 'metal', 'roll', 'forming', 'stamping', 'stamping', 'sintering', 'production', 'production', 'pressure', 'pressing', 'pressing']"
'machining; treatment and coating of metals',"['rolling precious metals onto base metals', ""description =' machining"", ""see 2420 '>"", 'see 0162', 'splicing etc', 'record n', 'metalwork pieces', 'laser beams', 'class includes', 'class excludes', 'anodizing etc', 'metallic coating', 'heat treatment', 'metal non', 'metals', 'metals', 'metals', 'metals', 'treatment', 'coating', 'metal', 'metal', 'metal', 'metal', 'writing', 'welding', 'turning', 'tumbling', 'sharpening', 'sawing', 'sandblasting', 'printing', 'polishing', 'plating', 'planing', 'milling', 'means', 'levelling', 'lapping', 'hardening', 'grinding', 'farriers', 'eroding', 'engraving', 'deburring', 'cutting', 'colouring', 'cleaning', 'buffing', 'broaching', 'boring', 'activities']"
"'manufacture of cutlery, hand tools and general hardware'","[""see 3211 '>"", 'platters etc .)', 'driven hand tools', '), see 2599', ""description =' manufacture"", 'hand tools', 'see 2823', 'see 2818', '), dinnerware', 'saucers etc', 'kettles etc', 'record n', 'precious metal', 'ingot moulds', 'general hardware', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'power', 'pots', 'plates', 'hollowware', 'flatware', 'cutlery', 'cutlery', 'bowls']"
'manufacture of other fabricated metal products n.e.c.',"['fabricated metal products n', 'power transmission chain', ""see 3240 '>"", ""description =' manufacture"", 'record n', 'metal furniture', 'electricity transmission', 'see 3230', 'see 3100', 'see 3099', 'see 2814', 'see 2732', 'see 2652', 'see 2593', 'see 2512', 'watch springs', 'sports goods', 'shopping carts', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'wire', 'toys', 'tanks', 'swords', 'reservoirs', 'games', 'e', 'clock', 'cable', 'c', 'bayonets']"
'manufacture of electronic components',"['carrier equipment ), see 2630', ""complete equipment classification '>"", 'classified elsewhere based', 'similar irradiation devices', 'electrical wiring devices', ""description =' manufacture"", 'see 2733 manufacture', 'complete equipment', 'optical equipment', 'similar devices', 'see 2710', 'see 2710', 'see 27', 'see 2670', 'see 2660', 'see 2620', 'see 1811', 'electrical relays', 'electrical applications', 'television displays', 'smart cards', 'record n', 'ray tubes', 'lighting ballasts', 'electronic applications', 'class includes', 'class excludes', 'electronic components', 'components', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'x', 'semiconductors', 'printing', 'modems', 'instruments', 'computer', '2640']"
'manufacture of computers and peripheral equipment',"['gateways ), see 2630 manufacture', '), see 1820 manufacture', 'see 2630 manufacture', 'digital communication switches', ""see 2680 '>"", 'data communications equipment', ""description =' manufacture"", 'video game consoles', 'electronic assemblies used', 'consumer electronic devices', 'external computer modems', 'see 2640 manufacture', 'see 2640', 'see 2640', 'see 2610', 'see 2610', 'see 2610', 'electronic components', 'computer media', 'peripheral equipment', 'carrier equipment', 'television monitors', 'recorded media', 'record n', 'magnetic media', 'interface cards', 'dvd players', 'class excludes', 'cd players', 'blank optical', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'video', 'modems', 'devices', 'assemblies', 'use', 'sound', 'routers', 'reproduction', 'peripherals', 'modules', 'internal', 'g', 'etc', 'e', 'displays', 'computers', 'computers', 'computers', 'bridges']"
'manufacture of communication equipment',"['type ), see 2610', 'data communications equipment used', 'move signals electronically', 'external computer modems', 'wireless communications equipment', 'computer peripheral equipment', ""see 2790 '>"", ""description =' manufacture"", 'see 2640 manufacture', 'see 2610', 'communications equipment', 'see 2790', 'subassemblies used', 'video equipment', 'see 2620', 'communication equipment', 'traffic lights', 'television broadcast', 'record n', 'electronic scoreboards', 'electronic components', 'consumer audio', 'class includes', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'wires', 'telephone', 'radio', 'pc', 'internal', 'computers', 'air']"
'manufacture of consumer electronics',"['musical instrument amplification sub class description', 'infrared ), see 2630', '), see 1820 manufacture', ""description =' manufacture"", 'telephone answering machines', 'remote control devices', 'public address systems', ""see 3240 '>"", 'computer peripheral devices', 'broadcast studio equipment', 'commercial video cameras', 'class includes', 'class excludes', 'see 2630', 'see 2630', 'see 2630', 'see 2620', 'computer monitors', 'computer media', 'video equipment', 'paging equipment', 'recorded media', 'record n', 'receiving antennas', 'motor vehicle', 'home entertainment', 'electronic games', 'electronic audio', 'consumer electronics', 'reproduction equipment', 'video', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'reproduction', 'transmitting', 'sound', 'software', 'replaceable', 'radio', 'non', 'fixed', 'etc']"
"'manufacture of measuring, testing, navigating and control equipment'","['calipers ), see manufacturing class according', 'simple mechanical measuring tools', 'industrial process control equipment', 'main material used', ""see 3320 '>"", 'optical positioning equipment', 'telephone answering machines', ""description =' manufacture"", 'class excludes', 'control equipment', 'see 2817', 'see 2670', 'see 2660', 'see 2630', 'irradiation equipment', 'dictating machines', 'measuring tapes', 'record n', 'medical testing', 'measuring', 'testing', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'navigating', 'installation', 'g', 'e']"
'manufacture of watches and clocks',"['plastic ), see 1512', ""see 3212 '>"", ""description =' manufacture"", 'metal watch bands', 'see 3211', 'watch bands', 'watch bands', 'precious metal', 'precious metal', 'record n', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'watches', 'textile', 'non', 'non', 'leather', 'clocks']"
"'manufacture of irradiation, electromedical and electrotherapeutic'","[""see 2829 '>"", 'medical ultrasound equipment', ""description =' manufacture"", 'class includes manufacture', 'electrotherapeutic equipment', 'class excludes', 'tanning beds', 'record n', 'mri scanner', 'ionizing radiation', 'hearing aid', 'electrotherapeutic apparatus', 'electrocardiographs etc', 'ct scanner', 'irradiation apparatus', 'manufacture', 'irradiation', 'irradiation', 'x', 'take', 'rays', 'rays', 'rays', 'pacemakers', 'gamma', 'form', 'electromedical', 'electromedical', 'beta']"
'manufacture of optical instruments and equipment',"['complete equipment using laser components', 'medical laser equipment', 'digital cameras etc', ""see 3250 '>"", 'see manufacturing class', ""description =' manufacture"", 'type video cameras', 'see 2640 manufacture', 'video cameras', 'see 2817', 'see 2660', 'see 2630', 'see 2620', 'class includes', 'class excludes', 'record n', 'optical instruments', 'optical instruments', 'ophthalmic goods', 'except opthalmic', 'computer projectors', 'commercial tv', 'photocopy machinery', 'equipment', 'type', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'machinery', 'prisms', 'microscopes', 'lens', 'household', 'g', 'film', 'e', 'binoculars']"
'manufacture of magnetic and optical media',"[""), see 1820 '>"", ""description =' manufacture"", 'class includes manufacture', 'blank optical discs', 'blank magnetic audio', 'optical media', 'class excludes', 'recorded media', 'record n', 'computer media', 'video tapes', 'magnetic', 'video', 'sound', 'reproduction', 'etc', 'cassettes']"
"'manufacture of electric motors, generators, transformers and electricity'","['industrial process control instruments', 'solid state inverters', 'internal combustion engines', ""see 2930 '>"", 'motor generator sets', 'distribution level voltages', ""description =' manufacture"", 'see 2811 manufacture', 'see 2651 manufacture', 'see 2610 manufacture', 'industrial controls', 'generator sets', 'control apparatus', 'see 2790', 'see 2790', 'see 2733', 'switchboard apparatus', 'starting motors', 'soldering equipment', 'record n', 'environmental controls', 'electronic component', 'electricity distribution', 'electrical equipment', 'electrical circuits', 'electric welding', 'electric motors', 'electric motors', 'type transformers', 'specialty transformers', 'class includes', 'class excludes', 'snap switches', 'distribution', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'transformers', 'class', 'switches', 'switches', 'turbine', 'switchgear', 'relays', 'rectifiers', 'pushbutton', 'power', 'generators', 'generators', 'generators', 'converters']"
'manufacture of batteries and accumulators',"[""description =' manufacture"", 'record n', ""accumulators '>"", 'batteries']"
'Manufacture of fibre',"['optical cable sets', 'fiber optic cable', ""description =' manufacture"", 'see 2310 manufacture', 'class includes manufacture', 'see depending', 'class excludes', 'record n', 'live transmission', 'glass fibres', 'fibre transmission', 'data transmission', 'application e', ""2610 '>"", 'manufacture', 'strand', 'images', 'images', 'g', 'connectors', 'attachments', 'assemblies']"
'manufacture of other electronic and electric wires and cables',"[""see 2930 '>"", ""description =' manufacture"", 'see 2610 manufacture', 'similar cable sets', 'similar cable sets', 'class includes manufacture', 'cable sets', 'see 2410', 'class excludes', '2420 manufacture', 'wiring harnesses', 'record n', 'electric wires', 'automotive applications', 'usb cables', 'printer cables', 'computer cables', 'insulated wire', 'manufacture', 'cable', 'cables', 'wire', 'steel', 'made', 'electronic', 'drawing', 'copper', 'assemblies', 'assemblies', 'aluminium']"
'manufacture of wiring devices',"[""see 2610 '>"", 'electrical circuits regardless', 'see 2393 manufacture', ""description =' manufacture"", 'carrying wiring devices', 'wiring devices', 'record n', 'electronic switches', 'class includes', 'class excludes', 'ceramic insulators', 'non current', 'manufacture', 'manufacture', 'carrying', 'current', 'material']"
'manufacture of electric lighting equipment',"['electric light bulbs ); electric lighting fixture components', 'electric light bulbs', 'carrying wiring devices ).', 'electric lighting equipment', 'carrying wiring devices', 'electrical lighting equipment', 'pedestrian signalling equipment', 'electrical signalling equipment', 'integrated lighting fixtures', ""see 2790 '>"", ""description =' manufacture"", 'see 2750 manufacture', 'see 2310 manufacture', 'except glass blanks', 'class includes manufacture', 'lighting fixtures', 'lighting fixtures', 'see 2733', 'components', 'traffic lights', 'record n', 'glass parts', 'except current', 'class excludes', 'ceiling fans', 'bath fans', 'also included', 'manufacture', 'manufacture', 'class', 'parts', 'current', 'tubes', 'non', 'glassware']"
'manufacture of domestic appliances',"['permanent mount space heaters', 'central vacuum cleaning systems', 'institutional vacuum cleaners', 'type sewing machines', 'see division 28', 'type cooking equipment', ""description =' manufacture"", 'type laundry', 'see 2826', 'pressing equipment', 'room air', 'record n', 'exhaust fans', 'domestic appliances', 'class excludes', 'attic fans', ""4329 '>"", 'industrial refrigerators', 'commercial ventilation', 'cleaning', 'manufacture', 'manufacture', 'industrial', 'commercial', 'commercial', 'commercial', 'commercial', 'installation', 'household', 'freezers', 'dry', 'conditioners']"
'manufacture of other electrical equipment',"[""domestic appliances '>"", ""description =' manufacture"", 'miscellaneous electrical equipment', 'electrical equipment', 'lighting equipment', 'wiring devices', 'record n', 'class includes', 'manufacture', 'wires', 'transformers', 'motors', 'generators', 'batteries', 'accumulators']"
"'manufacture of engines and turbines, except aircraft, vehicle and cycle'","['except turbine generator sets ), see 2710 manufacture', 'except turbine generator sets ), see 2710', 'prime mover generator sets', 'railway engines ), manufacture', 'internal combustion piston engines', 'see 2790 manufacture', 'generator sets', ""see 3030 '>"", 'except motor vehicle', 'internal combustion engines', 'internal combustion engines', 'internal combustion engines', 'turbine sets', 'diesel engines etc', 'cycle propulsion engines', 'cycle propulsion engines', ""description =' manufacture"", 'class includes manufacture', 'see 2910', 'except aircraft', 'cycle engines', 'piston rings', 'marine engines', 'turbine', 'motor vehicle', 'class excludes', 'turbo propellers', 'record n', 'parts thereof', 'exhaust valves', 'electrical equipment', 'electric generators', 'engines', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'vehicle', '3030', 'aircraft', 'aircraft', 'turbojets', 'turbines', 'turbines', 'pistons', 'inlet', 'components', 'carburetors', 'boiler', '3091']"
'Manufacture of fluid power equipment',"['mechanical transmission equipment', 'fluid power equipment', 'fluid power applications', 'air preparation equipment', ""see 2814 '>"", 'fluid power systems', 'fittings ), manufacture', ""description =' manufacture"", 'hydraulic transmission equipment', 'class includes manufacture', 'see 2813 manufacture', 'including hydraulic pumps', 'see 2813', 'pneumatic systems', 'class excludes', 'record n', 'pneumatic hose', 'pneumatic cylinders', 'pneumatic components', 'hydraulic motors', 'pneumatic valves', 'pumps', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'hydraulic', 'hydraulic', 'hydraulic', 'hydraulic', 'valves', 'use', 'non', 'compressors']"
"'manufacture of other pumps, compressors, taps and valves'","['unhardened vulcanized rubber', 'internal combustion engines', 'hydraulic transmission equipment', ""see 2811 '>"", ""description =' manufacture"", 'see 2812', 'see 2219', 'record n', 'class excludes', 'ceramic materials', 'exhaust valves', 'manufacture', 'manufacture', 'manufacture', 'valves', 'valves', 'taps', 'pumps', 'inlet', 'glass', 'compressors', '2393', '2310']"
